NodeB_ID,Cell_Id,VS.MeanRTWP(dBm),DCH User Num,HSDPA User Num,HSDPA User Throughput (kbit/s),FACH User Num,HSUPA User Num,HSUPA User Throughput (kbit/s),PD85,FR_DROP_DL,FR_DROP_UL
290000,290023,-100.9848,10.6034,5.8812,877.5528,4.4659,7.4331,46.3402,377.23,284,318
3290000,3290011,-100.302,16.7886,9.3004,936.9404,4.7609,11.4322,69.16,3221.75,505,322
1260000,1260021,-105.6067,2.3862,0.9659,1718.767,0.4938,1.4332,71.3903,1143.34,6057,0
2140000,2140024,-102.5932,14.107,8.4577,1763.8498,6.0904,9.7992,70.151,523.82,33102,1144
2930000,2930022,-100.3677,28.132,22.5029,944.7919,15.4875,24.9041,55.6115,1315.77,1714774,0
1100000,1100032,-100.0936,7.4352,4.2898,1502.3967,3.5721,5.7725,64.353,566.54,69,529
980000,980023,-104.2287,14.446,6.6499,891.7887,4.6914,9.5971,56.6062,2171.86,268219,0
320000,320012,-97.291,16.9686,10.0222,1426.7557,9.1977,13.5557,101.0589,5167.01,105690,37
70000,70016,-97.5184,5.9281,2.1303,1470.6124,0.8671,3.8016,54.9575,894.09,191684,8
2990000,2990031,-103.0452,21.0978,16.4779,368.4681,10.8969,17.3214,64.6812,2906.45,179678887,361788
2850000,2850021,-99.8064,43.7409,30.5209,330.5077,20.5039,33.5946,74.6137,2247.87,1522551,0
2140000,2140022,-102.604,17.84,6.5564,1132.5786,5.4248,11.3093,65.5927,541.54,33102,1144
2680000,2680013,-100.4507,18.3976,8.3443,1341.8822,4.4495,10.7319,64.047,745.24,17283,527
2640000,2640013,-93.4442,58.0855,29.2657,446.292,12.1409,36.352,49.7121,844.63,3442,13
2790000,2790012,-98.7744,20.7128,9.1085,676.1171,7.0566,12.1367,50.7476,6767.38,195,870
3040000,3040012,-95.1758,40.3938,23.0009,146.5781,10.4832,29.4557,43.7804,6035.83,397,57
2260000,2260012,-97.5804,13.6394,6.1059,1573.5185,3.713,8.0747,76.5893,349.03,125,470
2550000,2550012,-102.0002,26.0181,19.5376,1012.6689,15.4754,20.9552,75.829,3417.84,12771023,2699
3000000,3000012,-95.3297,20.4465,8.0774,709.5795,2.9446,11.7078,53.2879,1223.46,21,18
1680000,1680032,-100.0233,13.9774,6.6468,1547.0163,4.6176,8.6537,65.7145,363.86,6,6
680000,680025,-102.7255,19.0471,9.7069,1335.692,5.6829,12.718,65.2897,1279.17,733611,8
890000,890016,-103.3347,8.4672,4.6084,1919.6915,3.8101,6.0646,83.5925,891.65,98,16
2460000,2460022,-104.0549,7.3252,4.2244,655.4376,4.5142,5.2117,76.2872,904.76,25548419,5883
2450000,2450032,-107.0011,2.9084,2.1265,1855.3267,1.6808,2.1426,63.4832,22885.4,219506,31
2660000,2660022,-103.8655,2.9934,1.7489,1679.078,0.832,2.3942,90.0398,154.48,716,8
2430000,2430011,-98.8708,27.5017,12.6789,1103.8961,5.6821,16.1224,63.6333,693.26,5925,0
1260000,1260013,-103.3487,6.9549,2.8658,1822.8575,1.5265,4.0091,81.0662,907.05,6057,0
950000,950033,-95.7351,9.2592,6.3385,1990.5695,7.438,6.7844,64.4988,266.96,176,558
2930000,2930013,-97.9044,44.2806,31.3707,120.7966,19.8302,35.5776,44.6444,10328.4,1714774,0
2230000,2230031,-102.4936,8.5775,5.0237,2040.4001,4.235,5.8761,75.2318,1579.54,60,4
2900000,2900012,-100.9439,18.201,11.1437,662.3978,7.6504,14.1691,59.6905,9689.91,3146479,1328
110000,110023,-104.0508,8.7231,4.1497,1449.8449,2.6462,6.2926,63.0287,747.64,681,42
2140000,2140023,-101.8267,26.1932,12.258,1054.8828,10.2005,16.9746,60.3455,1033.88,33102,1144
